Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Location,Rating,"Bean
Type","Broad Bean
Origin"
Acalli,"Chulucanas, El Platanal",1462,2015,70%,U.S.A.,3.75, ,Peru
Valrhona,Chuao 2002 P.,129,2007,65%,France,3.75,Trinitario,Venezuela
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali"
Zotter,Santo Domingo,879,2012,70%,Austria,3.75, ,Dominican Republic
Blue Bandana,Madagascar,911,2012,70%,U.S.A.,3.75,Trinitario,Madagascar
Laia aka Chat-Noir,"Lam Dong, Batch 153",1642,2015,75%,France,3.75,Trinitario,Vietnam
L.A. Burdick (Felchlin),Chuao,927,2012,68%,U.S.A.,3.75,Trinitario,Venezuela
Mission,"Fazenda Camboa, Bahia",1880,2016,75%,Brazil,3.75, ,Brazil
Pierre Marcolini,"Baracoa, Cuba",516,2010,78%,Belgium,3.75,"Criollo, Forastero",Cuba
Potomac,"Cuyagua, 2013",1387,2014,70%,U.S.A.,3.75, ,Venezuela
Potomac,"Oko Caribe, Duarte Province, 2016 H.",1820,2016,70%,U.S.A.,3.75, ,Domincan Republic
Doble & Bignall,Johe,1407,2014,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Ocho,"PNG, Nib Bar",1411,2014,74%,New Zealand,3.5, ,Papua New Guinea
Felchlin,Arriba,48,2006,72%,Switzerland,3.5,Forastero (Arriba),Ecuador
Shark Mountain,ROIG,1466,2015,74%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Map Chocolate,Le Chocolat Chaud,1634,2015,78%,U.S.A.,3.5, ,Honduras
Ocho,Sang Yum Coop,1760,2016,70%,New Zealand,3.5, ,Samoa
Scharffen Berger,Bittersweet,15,2006,70%,U.S.A.,3.5,Blend, 
Marou,Ben Tre,1650,2015,68%,Vietnam,3.5,Trinitario,Vietnam
Shark Mountain,Papua New Guinea,1450,2015,73%,U.S.A.,3.5,Forastero,Papua New Guinea
Felchlin,Grenada,494,2010,58%,Switzerland,3.5,Trinitario,Grenada
Domori,Carenero Superior,87,2006,70%,Italy,3.5,Trinitario,Venezuela
Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75%,Singapore,3.5, ,Ecuador
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Map Chocolate,"A case of the Xerces Blues, triple roast",1606,2015,70%,U.S.A.,3.5, ,Nicaragua
Dick Taylor,Tien Giang,1864,2016,78%,U.S.A.,3.5,Trinitario,Vietnam
Mission,"Bahia, Fazenda Venturosa",1626,2015,70%,Brazil,3.5,Forastero (Parazinho),Brazil
Manufaktura Czekolady,Peru,1848,2016,70%,Poland,3.5, ,Peru
Manufaktura Czekolady,Kolumbia,1279,2014,85%,Poland,3.5, ,Colombia
Scharffen Berger,Camahogne,464,2010,68%,U.S.A.,3.5,Trinitario,Grenada
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5, ,Dominican Republic
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5, ,Ecuador
French Broad,"Palo Blanco, Chulucanas",1042,2013,66%,U.S.A.,3.5, ,Peru
Sol Cacao,"Ecuador, Batch 1",1812,2016,70%,U.S.A.,3.5, ,Ecuador
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana
French Broad,Guatemala,1634,2015,73%,U.S.A.,3.5, ,Guatemala
French Broad,"Norandino, batch 161208",1940,2017,70%,U.S.A.,3.5, ,Peru
Frederic Blondeel,Madagascar,1351,2014,65%,Belgium,3.5,Trinitario,Madagascar
Frederic Blondeel,Ghana,1351,2014,60%,Belgium,3.5,Forastero,Ghana
Map Chocolate,"ROIG, 2014",1474,2015,70%,U.S.A.,3.5,"Criollo, Trinitario",Dominican Republic
Frederic Blondeel,Peru Brutus,1538,2015,75%,Belgium,3.5, ,Peru
Frederic Blondeel,Costa Rica,1538,2015,70%,Belgium,3.5, ,Costa Rica
Franceschi,Sur del Lago,915,2012,60%,Venezuela,3.5, ,Venezuela
Map Chocolate,"Maranon, 2014",1474,2015,62%,U.S.A.,3.5,Forastero (Nacional),Peru
Map Chocolate,Ecuador,1478,2015,70%,U.S.A.,3.5,Trinitario,Ecuador
Franceschi,Choroni,1355,2014,70%,Venezuela,3.5, ,Venezuela
Minimal,"Acul-du-Nord, 2015",1920,2016,70%,Japan,3.5,"Criollo, Trinitario",Haiti
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru
Millcreek Cacao Roasters,Ecuador,825,2012,70%,U.S.A.,3.5, ,Ecuador
Monarque,Oko Caribe,1812,2016,72%,Canada,3.5, ,Dominican Republic
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5, ,Ecuador
Sirene,Wild Bolivia,1788,2016,73%,Canada,3.5, ,Bolivia
Marou,"Tan Phu Dong, Treasure Island",1149,2013,75%,Vietnam,3.5,Trinitario,Vietnam
Nanea,Criollo Blend,1007,2013,85%,U.S.A.,3.5, ,Hawaii
Night Owl,Ecuador,1022,2013,75%,U.S.A.,3.5, ,Ecuador
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend, 
Matale,"Malekula P., 2013",1177,2013,72%,Australia,3.5,Trinitario,Vanuatu
Middlebury,Maya Mountain,1490,2015,80%,U.S.A.,3.5,Trinitario,Belize
Montecristi,Manabi,1658,2015,85%,Ecuador,3.5, ,Ecuador
Duffy's,Panama,516,2010,70%,U.K.,3.5, ,Panama
Duffy's,Ocumare,765,2011,71%,U.K.,3.5, ,Venezuela
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru
Nathan Miller,Ghana,1403,2014,70%,U.S.A.,3.5,Forastero,Ghana
Domori,Madagascar,135,2007,70%,Italy,3.5,Trinitario,Madagascar
Meadowlands,Dominican Republic,1291,2014,70%,U.S.A.,3.5, ,Dominican Republic
Durci,"Maranon, Joya Rara",1626,2015,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5, ,Dominican Republic
Muchomas (Mesocacao),Nicaragua,1462,2015,70%,U.S.A.,3.5, ,Nicaragua
Mesocacao,Honduras,1347,2014,70%,Honduras,3.5, ,Honduras
Mesocacao,"La Tronca, Matagalpa",1351,2014,80%,Honduras,3.5, ,Nicaragua
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
Metiisto,Akesson Estate,1267,2014,72%,Sweden,3.5,Trinitario,Madagascar
Metropolitan,South America,1688,2015,70%,Amsterdam,3.5,Trinitario,South America
Muchomas (Mesocacao),Nicaragua,1462,2015,80%,U.S.A.,3.5, ,Nicaragua
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar
Middlebury,San Juan Estate,1490,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Montecristi,Manabi,1654,2015,63%,Ecuador,3.5, ,Ecuador
Marou,Lam Dong,955,2012,74%,Vietnam,3.5,Trinitario,Vietnam
Sibu,Oscuro,1586,2015,70%,Costa Rica,3.5, ,Costa Rica
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela
Sirene,Kokoa Kamili Coop,1856,2016,73%,Canada,3.5, ,Tanzania
Marou,Ba Ria,845,2012,76%,Vietnam,3.5,Trinitario,Vietnam
Marou,Dong Nai,845,2012,72%,Vietnam,3.5,Trinitario,Vietnam
Marou,"Tien Giang, Gao Co-op",845,2012,70%,Vietnam,3.5,Trinitario,Vietnam
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Marou,Ben Tre,849,2012,78%,Vietnam,3.5,Trinitario,Vietnam
Middlebury,"Matagalpa, Cacao Bisiesto",1538,2015,70%,U.S.A.,3.5, ,Nicaragua
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana
Mast Brothers,Moho River,773,2011,70%,U.S.A.,3.5,Trinitario,Belize
"Smooth Chocolator, The","Oko Caribe, DOR005",1940,2017,70%,Australia,3.5, ,Dominican Republic
Nugali,Fazenda Leolinda,1876,2016,70%,Brazil,3.5,Trinitario (Scavina),Brazil
Domori,Morogoro,863,2012,70%,Italy,3.5, ,Tanzania
Nuance,"Sambirano Valley, 2012",1458,2015,70%,U.S.A.,3.5,Trinitario,Madagascar
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep."
Mast Brothers,Brooklyn Blend,672,2011,72%,U.S.A.,3.5, , 
"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1",1662,2015,65%,Australia,3.5, ,Papua New Guinea
East Van Roasters,Madagascar,1343,2014,70%,Canada,3.5,Trinitario,Madagascar
French Broad,"Palo Blanco, Chulucanas",883,2012,61%,U.S.A.,3.5, ,Peru
Potomac,Upala w/ nibs,647,2011,70%,U.S.A.,3.5,Matina,Costa Rica
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70%,Germany,3.5,Criollo,Bolivia
Hotel Chocolat (Coppeneur),"Los Rios, H. Iara, 2012",1065,2013,82%,U.K.,3.5,Forastero (Nacional),Ecuador
Pump Street Bakery,"Crayfish Bay Estate, 2014",1502,2015,70%,U.K.,3.5,Trinitario,Grenada
Hotel Chocolat (Coppeneur),Mekong Delta & Dong Nai,1038,2013,80%,U.K.,3.5,Trinitario,Vietnam
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74%,U.K.,3.5,Criollo,Madagascar
Park 75,South America,1363,2014,65%,U.S.A.,3.5, ,South America
Lajedo do Ouro,Catongo,927,2012,70%,Brazil,3.5,Forastero (Catongo),Brazil
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua
Palette de Bine,Duo- Gran Couva & Camino Verde,1399,2014,75%,Canada,3.5,Blend,"Trinidad, Ecuador"
Holy Cacao,San Martin,431,2009,70%,Israel,3.5, ,Peru
Q Chocolate,Brazil,1057,2013,85%,Brazil,3.5, ,Brazil
Holy Cacao,Mara,1466,2015,70%,Israel,3.5, ,Venezuela
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Holy Cacao,Sambirano,1466,2015,70%,Israel,3.5,Trinitario,Madagascar
Holy Cacao,"Camino Verde P., Balao, Guayas",1466,2015,70%,Israel,3.5, ,Ecuador
Hoja Verde (Tulicorp),Manabi,414,2009,58%,Ecuador,3.5,Forastero (Arriba) ASS,Ecuador
Letterpress,"La Masica, Batch 7, FHIA",1952,2017,70%,U.S.A.,3.5, ,Honduras
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
Raaka,La Red,785,2011,85%,U.S.A.,3.5, ,Dominican Republic
Palette de Bine,Kokoa Kamili,1574,2015,72%,Canada,3.5, ,Tanzania
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela
Letterpress,Kokoa Kamili,1566,2015,70%,U.S.A.,3.5, ,Tanzania
Letterpress,Maranura,1371,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru
Lillie Belle,"Bolivia, Wild Thing",903,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",1744,2016,72%,U.S.A.,3.5, ,Hawaii
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",1872,2016,77%,U.K.,3.5, ,Ecuador
Pralus,"Djakarta, Java and Ghana",99,2006,75%,France,3.5,"Criollo, Forastero","Indonesia, Ghana"
French Broad,"Maranon Canyon, Fortunato No. 4",781,2011,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Hotel Chocolat (Coppeneur),Sambirano,809,2012,66%,U.K.,3.5,"Trinitario, Criollo",Madagascar
Potomac,Bahia,789,2011,70%,U.S.A.,3.5, ,Brazil
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",1061,2013,70%,Domincan Republic,3.5, ,Dominican Republic
Just Good Chocolate,Madagascar,1375,2014,70%,U.S.A.,3.5,Trinitario,Madagascar
Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral""",1319,2014,73%,U.S.A.,3.5, ,Ecuador
Just Good Chocolate,Belize,1375,2014,70%,U.S.A.,3.5,Trinitario,Belize
Izard,"Maya Mountain, Toledo, Batch 29",1542,2015,70%,U.S.A.,3.5,Trinitario,Belize
Pralus,Chuao,486,2010,75%,France,3.5,Trinitario,Venezuela
Isidro,Madagascar,1275,2014,72%,U.S.A.,3.5,Trinitario,Madagascar
Pierre Marcolini,Fleur de Cacao,166,2007,85%,Belgium,3.5,Blend,Venezuela/ Ghana
Pralus,"Monte Alegre, Diego Badero",280,2008,75%,France,3.5, ,Brazil
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,72%,Switzerland,3.5,Criollo,Venezuela
L.A. Burdick (Felchlin),Madagascar,431,2009,64%,U.S.A.,3.5,Trinitario,Madagascar
Patric,"Rio Caribe, Paria Penninsula",439,2009,70%,U.S.A.,3.5,Trinitario,Venezuela
Patric,Madagascar,439,2009,67%,U.S.A.,3.5,Trinitario,Madagascar
La Maison du Chocolat (Valrhona),Loma Sotavento,891,2012,66%,France,3.5, ,Dominican Republic
La Maison du Chocolat (Valrhona),Grenada,741,2011,68%,France,3.5,Trinitario,Grenada
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,69%,France,3.5,Criollo (Porcelana),Venezuela
Hummingbird,Zorzal Reserva w/ Charles Kerchner,1387,2014,70%,Canada,3.5, ,Dominican Republic
La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,74%,France,3.5,Blend,"Ven., Indonesia, Ecuad."
Pralus,Tanzania,105,2006,75%,France,3.5,Criollo,Tanzania
Pralus,Sao Tome & Principe,5,2006,75%,France,3.5,Forastero,Sao Tome & Principe
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5, ,Dominican Republic
Hummingbird,Lam Dong,1542,2015,70%,Canada,3.5,Trinitario,Vietnam
Parliament,Oko Caribe,1255,2014,70%,U.S.A.,3.5, ,Dominican Republic
Parliament,"Lachua, Q'egchi families",1542,2015,70%,U.S.A.,3.5, ,Guatemala
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia
Pralus,"Barlovento, Venezuela",32,2006,75%,France,3.5,Trinitario,Venezuela
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome
Pralus,Colombie,40,2006,75%,France,3.5,Trinitario,Colombia
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia
Pacari,Raw,266,2008,70%,Ecuador,3.5,Forastero (Arriba),Ecuador
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",1239,2014,67%,U.S.A.,3.5,"Amazon, ICS",Bolivia
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon mix,Costa Rica
Georgia Ramon,Conacado Coop,1646,2015,70%,Germany,3.5,Trinitario,Domincan Republic
Madre,Brazil,1085,2013,70%,U.S.A.,3.5, ,Brazil
S.A.I.D.,Malgascio,607,2010,64%,Italy,3.5,Trinitario,Madagascar
S.A.I.D.,Arawak,615,2010,72%,Italy,3.5, ,Carribean
S.A.I.D.,Latino,615,2010,72%,Italy,3.5, , 
Madre,Kaua'i,995,2012,70%,U.S.A.,3.5, ,Hawaii
Friis Holm (Bonnat),"Nicaliso, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Chuno, Xoco",623,2011,70%,Denmark,3.5,"Criollo, Trinitario",Nicaragua
Friis Holm (Bonnat),"Medagla, Xoco",1034,2013,70%,Denmark,3.5, ,Nicaragua
Friis Holm (Bonnat),La Dalia,1259,2014,70%,Denmark,3.5, ,Nicaragua
Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73%,Madagascar,3.5,Trinitario,Madagascar
Salgado,Bahia Superior,288,2008,70%,Argentina,3.5,Forastero,Brazil
Friis Holm,"Rugoso, Bad Fermentation",1912,2016,70%,Denmark,3.5, ,Nicaragua
Kallari (Ecuatoriana),Sisa's Secret/ original micro,241,2008,70%,Ecuador,3.5, ,Ecuador
Salgado,Esmeraldas,288,2008,70%,Argentina,3.5,Forastero (Nacional),Ecuador
Salgado,Carenero Superior,288,2008,70%,Argentina,3.5,Trinitario,Venezuela
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines
Salgado,Rio Arriba,292,2008,70%,Argentina,3.5,Forastero (Arriba) ASSS,Ecuador
Fresco,"Jamaica, #210, DR, MC",642,2011,70%,U.S.A.,3.5,Trinitario,Jamaica
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5, ,Dominican Republic
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate w/ nibs",502,2010,55%,U.S.A.,3.5, ,Hawaii
Omnom,Madagascar,1247,2014,66%,Iceland,3.5,Trinitario,Madagascar
Fresco,"Markham Valley, #221, DR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea
Fresco,"Markham Valley, #219, LR, MC",899,2012,69%,U.S.A.,3.5, ,Papua New Guinea
Manoa,Markham Valley,1522,2015,72%,U.S.A.,3.5, ,Papua New Guinea
Fresco,"Maranon, #230, DR, LC",1387,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #229, MR, LC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Maranon, #227, LR, MC",1383,2014,70%,U.S.A.,3.5,Forastero (Nacional),Peru
French Broad,La Red,785,2011,65%,U.S.A.,3.5, ,Dominican Republic
Madre,Guadalcanal,1940,2017,73%,U.S.A.,3.5, ,Solomon Islands
Georgia Ramon,Conacado Coop,1646,2015,80%,Germany,3.5,Trinitario,Domincan Republic
Madecasse (Cinagra),Madagascar,288,2008,75%,Madagascar,3.5,Trinitario,Madagascar
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend, 
Harper Macaw,"Vale do Juliana E., Atlantic Forest",1700,2015,74%,U.S.A.,3.5, ,Brazil
Harper Macaw,"Tome Acu E., Amazon Rainforest",1700,2015,77%,U.S.A.,3.5, ,Brazil
Republica del Cacao (aka Confecta),El Oro,147,2007,67%,Ecuador,3.5,Forastero (Arriba),Ecuador
Ritual,"Camino Verde P., Balao, Guayas, 2014",1466,2015,85%,U.S.A.,3.5, ,Ecuador
Ritual,"Mid Mountain, 2014",1466,2015,70%,U.S.A.,3.5,Blend, 
Pacari,Nube- prototype,721,2011,70%,Ecuador,3.5, ,Ecuador
Lonohana,"Hawaiian Crown, Kona Vanilla",1097,2013,70%,U.S.A.,3.5, ,Hawaii
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario, 
Ritual,Gran Couva,979,2012,75%,U.S.A.,3.5,Trinitario,Trinidad
Ritual,Costa Rica,745,2011,75%,U.S.A.,3.5, ,Costa Rica
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend, 
Guittard,"Los Rios, Quevedo",93,2006,65%,U.S.A.,3.5,Forastero (Arriba),Ecuador
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,"Criollo, +",Madagascar
Guittard,Ocumare,276,2008,65%,U.S.A.,3.5, ,Venezuela
Georgia Ramon,Akesson P.,1646,2015,75%,Germany,3.5,Trinitario,Madagascar
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend, 
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",923,2012,66%,U.K.,3.5,Trinitario,Grenada
Pacari,Cumbia,1415,2014,70%,Ecuador,3.5, ,Ecuador
Guittard,Ecuador,1053,2013,65%,U.S.A.,3.5, ,Ecuador
Luker,Santander,552,2010,65%,Colombia,3.5, ,Colombia
Rogue,"Akessons Estate, Sambirano, 2013",1038,2013,70%,U.S.A.,3.5,Trinitario,Madagascar
Rogue,"Hispaniola, 2013",1081,2013,70%,U.S.A.,3.5, ,Dominican Republic
Madecasse (Cinagra),Madagascar,284,2008,67%,Madagascar,3.5,Trinitario,Madagascar
Green Bean to Bar,Madagascar,1896,2016,70%,Japan,3.5, ,Madagascar
Rogue,Rio Caribe,327,2009,70%,U.S.A.,3.5,Trinitario,Venezuela
Rozsavolgyi,Carenero Superior,713,2011,73%,Hungary,3.5,Criollo,Venezuela
Rozsavolgyi,"Aragua, Trincheras",717,2011,70%,Hungary,3.5, ,Venezuela
Glennmade,"Toledo District, 2015 Harvest",1848,2016,70%,U.S.A.,3.5, ,Belize
Pralus,Trinidad,5,2006,75%,France,3.5,Trinitario,Trinidad
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar
DeVries,Costa Rica,166,2007,77%,U.S.A.,3.5,Trinitario,Costa Rica
twenty-four blackbirds,"Cedeno, lot 271",1700,2015,75%,U.S.A.,3.5, ,Ecuador
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5, ,Colombia
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5, ,Colombia
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Terroir,Oko Caribe,1554,2015,70%,U.S.A.,3.5, ,Domincan Republic
Cacao Barry,Grand 'Anse,1716,2016,65%,France,3.5,"Trinitario, Criollo",Haiti
Theo,Madagascar,162,2007,65%,U.S.A.,3.5,Trinitario,Madagascar
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5, ,Ecuador
Bright,Marabel Farms,1231,2014,70%,Australia,3.5, ,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5, ,Guatemala
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Brasstown aka It's Chocolate,Ghana,1129,2013,75%,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Tsara (Cinagra),"Ambanja, Tsara Valley",753,2011,72%,Madagascar,3.5, ,Madagascar
twenty-four blackbirds,Madagascar,1235,2014,75%,U.S.A.,3.5,Trinitario,Madagascar
Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3",971,2012,70%,U.S.A.,3.5,Forastero (Parazinho),Brazil
Bonnat,Juliana,672,2011,75%,France,3.5, ,Brazil
Bonnat,Piura Blanco,629,2011,75%,France,3.5,Forastero (Nacional),Peru
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5, ,Peru
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
Bonnat,Maragnam,1038,2013,75%,France,3.5, ,Brazil
Bonnat,Selva Maya,1912,2016,75%,France,3.5, ,Mexico
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5, ,Guatemala
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5, ,Tanzania
Blue Bandana,"Akesson's E., Sambirano V.",1740,2016,82%,U.S.A.,3.5,Trinitario,Madagascar
Valrhona,"Andoa, Grand Cru blend",1145,2013,70%,France,3.5, , 
Blanxart,"Congo, Grand Cru",1046,2013,82%,Spain,3.5,Forastero,Congo
Valrhona,"Loma Sotavento, 2013",1153,2013,64%,France,3.5, ,Dominican Republic
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5, ,Panama
Bittersweet Origins,Sambirano,431,2009,65%,U.S.A.,3.5,Trinitario,Madagascar
Cacao Market,"Jutiapa, lot 050916D",1860,2016,70%,U.S.A.,3.5,Trinitario,Honduras
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo
Chocovic,Sambirano,478,2010,71%,Spain,3.5,Trinitario,Madagascar
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5, ,Venezuela
Spencer,"Dominican Republic, lot D82R",1792,2016,70%,Australia,3.5, ,Domincan Republic
Chocolate Makers,"Congo, Gorilla bar",1530,2015,68%,Amsterdam,3.5,Forastero,Congo
Stone Grindz,"Ecuador, Midnight Dark",1291,2014,84%,U.S.A.,3.5, ,Ecuador
Stone Grindz,"Ecuador, Twilght Dark",1291,2014,70%,U.S.A.,3.5, ,Ecuador
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5, , 
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5, ,Costa Rica
Szanto Tibor,"Fazenda Sempre Firme, Bahia",1708,2015,70%,Hungary,3.5,Forastero (Parazinho),Brazil
Szanto Tibor,Porcelana,1263,2014,70%,Hungary,3.5,Criollo,Venezuela
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar
Castronovo,Conacado,1101,2013,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,Arauca,1371,2014,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Sierra Nevada,1347,2014,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,"the lost city, gracias a dias, batch 362",1570,2015,72%,U.S.A.,3.5,Trinitario,Honduras
Cacao Sampaka,Madagascar,508,2010,71%,Spain,3.5,Trinitario,Madagascar
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia
Carlotta Chocolat,Huila,1888,2016,65%,Colombia,3.5,Trinitario,Colombia
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5, ,Costa Rica
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5, ,Guatemala
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Caoni (Tulicorp),Esmeraldas,269,2008,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5, ,Ecuador
